,EXT_NEG_LY_S21_L001,LY_BR1_D_S11_L001,LY_BR1_Detrit_S1_L001,LY_BR1_Toxo_S6_L001,LY_BR1_W1_S16_L001,LY_BR2_D_S12_L001,LY_BR2_Detrit_S2_L001,LY_BR2_Toxo_S7_L001,LY_BR2_W2_S17_L001,LY_BR3_D_S13_L001,LY_BR3_Detrit_S3_L001,LY_BR3_Toxo_S8_L001,LY_BR3_W1_S18_L001,LY_BR4_D_S14_L001,LY_BR4_Detrit_S4_L001,LY_BR4_Toxo_S9_L001,LY_BR4_W1_S19_L001,LY_BR5_D_S15_L001,LY_BR5_Detrit_S5_L001,LY_BR5_Toxo_S10_L001,LY_BR5_W1_S20_L001,PCR_pos_LY_S22_L001
Otu0153,0,4,142,30,1067,0,2,0,0,0,0,0,1,0,97,6,5,1,13,42,19,0
Otu0154,0,228,0,0,13,1130,0,0,23,0,0,0,0,0,0,0,20,2,0,1,0,0
Otu0155,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,705,1,38,649,0
Otu0156,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1265,94,17,0
Otu0157,0,0,0,0,1340,0,0,0,4,0,0,0,3,0,0,0,3,1,21,0,5,0
Otu0158,0,10,28,57,11,18,199,542,7,0,79,35,3,100,163,97,19,0,0,0,1,0
Otu0159,0,0,0,0,106,0,0,0,0,6,1,93,101,0,0,4,335,0,0,0,723,0
Otu0160,0,2,201,266,3,0,27,0,4,1,109,21,11,0,469,0,9,0,226,9,3,0
Otu0161,0,1,0,1,1065,1,0,0,235,0,0,0,0,0,1,0,37,0,17,0,0,0
Otu0162,0,123,19,99,42,183,40,812,16,0,0,0,0,1,0,2,6,0,0,4,0,0
Otu0163,0,0,0,0,0,0,0,882,0,0,1,0,0,0,0,447,0,0,0,0,0,0
Otu0164,0,0,0,0,0,1115,0,16,154,3,3,0,35,0,0,0,0,0,0,0,1,0
Otu0165,0,0,1,0,387,333,0,45,297,4,0,0,101,0,0,1,117,0,14,0,21,0
Otu0166,0,0,0,0,0,0,0,1,1,110,1,0,10,0,0,0,0,1144,13,8,20,0
Otu0167,0,0,0,1,0,0,0,0,0,14,25,1095,84,0,0,4,73,0,0,0,0,0
Otu0168,0,139,8,3,99,426,49,486,81,0,1,0,0,0,0,0,0,0,0,2,2,0
Otu0169,0,861,2,3,145,148,0,16,37,5,0,2,4,21,0,4,19,0,2,26,0,0
Otu0170,0,0,0,0,0,0,0,0,1,298,9,0,515,0,0,0,0,174,0,5,293,0
Otu0171,0,1,0,25,3,0,0,0,0,3,305,337,14,1,0,7,8,91,0,402,89,0
Otu0172,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1279,0,1,2,0
Otu0173,0,0,0,0,0,0,0,0,0,24,36,500,124,273,23,63,241,1,0,0,0,0
Otu0174,0,16,0,0,17,28,0,0,0,804,17,3,308,28,0,0,21,0,0,1,0,0
Otu0175,0,0,203,25,0,0,103,0,2,0,776,52,0,0,30,0,2,0,44,0,0,0
Otu0177,0,11,3,251,14,0,0,0,0,33,20,7,1,26,2,354,23,8,0,475,6,0
Otu0178,0,0,0,0,0,1,0,601,3,0,0,20,4,2,0,569,33,0,0,0,0,0
Otu0179,0,3,0,0,2,0,0,0,0,11,0,2,3,26,0,1150,18,9,0,0,0,0
Otu0181,0,0,2,394,1,0,2,0,0,1,167,0,2,0,206,0,0,0,433,0,2,0
Otu0183,0,16,0,0,15,10,0,0,1,32,1,0,240,1,0,51,348,18,0,3,461,0
Otu0184,0,155,15,53,158,0,0,1,1,86,79,404,171,1,1,12,24,6,0,18,4,0
Otu0185,0,947,0,0,184,13,0,0,9,0,0,0,0,0,0,1,0,1,1,0,0,0
Otu0186,0,0,0,0,19,21,0,3,1084,1,0,0,17,0,0,0,7,0,0,0,3,0
Otu0187,0,13,0,0,0,0,0,0,0,689,159,6,241,0,0,0,0,41,0,3,2,0
Otu0188,0,1,0,58,13,0,0,12,0,1,226,786,2,0,18,16,12,1,0,5,3,0
Otu0189,0,5,0,0,0,0,0,0,0,9,0,140,8,7,0,781,13,8,2,176,1,0
Otu0190,0,0,0,0,0,0,0,0,0,7,0,309,57,1,0,269,1,12,0,224,236,0
Otu0191,0,426,0,0,150,418,0,1,103,0,0,0,0,0,0,0,1,0,6,5,0,0
Otu0192,0,83,2,106,247,13,1,574,19,2,0,1,0,2,0,44,1,4,6,2,0,0
Otu0193,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1090,0,2,0
Otu0194,0,2,0,0,0,0,0,0,0,293,3,0,771,0,0,0,0,6,0,0,15,0
Otu0196,0,0,0,0,84,19,1,2,224,17,0,7,181,4,0,3,540,0,1,0,1,0
Otu0197,0,2,0,0,3,0,0,0,0,113,0,244,43,9,0,569,6,16,0,35,11,0
Otu0198,0,0,0,0,0,64,6,766,207,0,0,0,1,0,0,0,0,0,0,1,0,0
Otu0199,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1034,1,0,0
Otu0200,0,0,0,0,0,0,0,0,0,0,1032,7,1,0,0,0,0,0,0,0,0,0
Otu0201,0,0,5,164,9,0,21,0,25,3,472,200,12,0,59,22,30,2,0,0,1,0
Otu0206,0,140,16,441,75,14,2,216,4,0,2,3,0,0,11,2,3,0,1,73,0,0
Otu0207,0,0,0,0,0,0,0,0,0,22,0,200,22,232,18,140,109,13,1,236,5,0
Otu0209,0,133,0,0,19,696,0,93,26,0,0,0,0,17,0,1,4,0,0,5,0,0
Otu0212,0,38,0,0,17,897,0,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0
Otu0213,0,4,6,4,7,4,4,52,5,0,2,2,4,1,33,91,12,33,0,704,15,0
Otu0214,0,6,0,0,0,0,0,0,0,29,0,68,4,1,0,732,2,49,0,76,11,0
Otu0215,0,0,2,0,1,0,2,0,0,0,52,0,6,0,0,0,0,9,634,27,245,0
Otu0216,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,976,0,0,0
Otu0217,0,8,0,0,3,124,0,1,838,1,0,0,0,0,0,0,0,0,0,0,1,0
Otu0218,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,918,0
Otu0219,0,0,0,96,1,0,0,421,2,0,0,162,3,1,0,265,2,1,0,8,3,0
Otu0220,0,138,1,1,61,302,0,71,18,0,0,0,0,165,0,131,59,0,0,10,0,0
Otu0221,62,7,0,1,37,0,3,0,27,52,2,52,96,3,4,355,180,25,3,5,41,1
Otu0222,0,0,0,0,0,0,0,0,0,15,255,11,42,0,8,0,0,19,595,6,2,0
Otu0223,0,11,0,0,0,0,0,0,0,0,0,2,934,0,0,0,0,2,0,0,1,0
Otu0224,0,7,1,281,7,0,0,0,0,2,305,330,14,0,0,0,0,1,0,0,1,0
Otu0225,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,941
Otu0226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,928,0
Otu0229,0,0,0,0,0,0,0,0,0,19,1,717,167,0,0,0,0,3,0,3,11,0
Otu0230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,872,0,2,0,38,0,0,0
Otu0231,0,133,215,7,87,50,133,243,24,0,0,0,0,0,0,0,0,0,0,5,0,0
Otu0232,0,1,0,0,7,0,0,0,0,70,15,0,374,2,0,0,424,0,0,0,0,0
Otu0234,0,0,0,0,0,0,0,0,0,27,1,549,13,1,0,252,7,6,0,16,13,0
Otu0235,0,0,0,0,0,0,0,0,0,1,0,17,23,1,0,511,26,7,0,268,19,0
Otu0236,0,0,0,0,0,0,0,0,0,584,6,0,177,0,0,0,0,18,0,0,88,0
Otu0237,0,5,0,0,2,0,0,0,0,320,1,0,543,0,0,0,0,0,0,0,0,0
Otu0238,0,4,0,0,0,0,0,0,0,20,1,410,10,10,0,313,3,37,0,40,22,0
Otu0239,0,0,6,0,4,0,9,0,1,0,0,0,0,0,346,24,479,0,0,0,0,0
Otu0240,0,0,3,531,1,0,6,0,0,0,281,27,3,0,1,0,3,1,0,0,1,0
Otu0241,0,0,108,6,1,0,402,0,2,0,98,27,1,0,108,45,2,0,56,0,0,0
Otu0243,0,0,0,0,0,0,0,0,0,0,818,2,1,0,0,0,0,0,30,0,0,0
Otu0244,0,36,0,11,549,0,0,0,3,129,4,1,103,0,0,0,10,0,2,0,0,0
Otu0245,0,317,0,0,88,110,0,0,73,15,1,0,104,0,0,0,114,0,7,5,12,0
Otu0246,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,2,139,23,0,2,668,0
Otu0247,0,0,0,0,0,0,0,0,0,30,5,2,727,0,0,0,1,18,0,1,48,0
Otu0248,0,14,0,0,672,4,0,0,116,0,0,1,5,0,0,0,0,0,11,0,1,0
Otu0249,0,0,179,370,0,0,10,0,0,0,17,1,0,0,138,0,0,0,108,1,0,0
Otu0251,0,1,0,2,0,2,0,2,1,57,0,8,31,1,0,0,2,681,0,1,26,0
Otu0252,0,8,0,1,798,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,2,0
Otu0253,0,0,387,55,2,0,62,0,1,0,1,0,0,0,305,0,0,0,0,0,0,0
Otu0254,0,18,1,0,5,7,48,421,10,0,122,0,0,0,147,6,26,0,0,1,0,0
Otu0255,0,0,0,0,0,1,0,0,0,57,5,2,84,0,0,0,0,546,0,1,114,0
Otu0257,0,29,0,4,46,68,0,142,3,13,3,5,7,36,11,363,74,0,0,1,1,0
Otu0258,0,2,0,0,0,0,0,0,0,1,0,0,0,12,0,71,3,34,5,666,10,0
Otu0259,0,4,0,0,0,0,0,0,0,4,0,1,4,0,0,0,0,63,0,5,721,0
Otu0260,0,0,0,0,221,1,0,0,574,0,0,0,0,1,0,0,0,0,1,0,0,0
Otu0261,0,0,2,678,0,0,0,0,0,0,0,0,0,0,117,0,1,0,0,0,0,0
Otu0262,0,0,0,1,0,0,0,0,0,534,176,8,76,1,0,0,0,0,0,0,0,0
Otu0264,0,3,0,0,1,0,0,10,0,12,0,20,2,113,8,400,51,15,0,152,7,0
Otu0265,0,2,1,2,46,176,1,67,229,20,6,8,107,0,3,1,117,0,1,0,2,0
Otu0266,476,5,2,2,0,4,11,0,0,19,6,41,52,14,34,0,7,68,14,1,32,0
Otu0267,0,6,0,0,8,2,0,14,9,273,0,10,157,21,0,46,62,87,0,4,89,0
Otu0268,0,1,0,0,2,0,0,0,0,123,0,1,655,0,0,0,3,0,0,0,0,0
Otu0269,0,0,0,0,1,0,0,0,0,2,426,221,5,0,11,69,9,3,0,21,7,0
Otu0270,0,0,0,0,0,0,0,11,0,1,0,759,0,0,0,0,0,0,0,0,1,0
Otu0271,0,57,38,10,20,0,42,290,19,9,11,7,11,39,12,156,47,0,0,0,0,0
Otu0273,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,17,693,44,7,0
Otu0275,0,494,0,0,254,0,0,0,0,1,0,0,1,0,0,0,0,0,0,12,0,0
Otu0277,0,1,0,0,1,0,0,0,0,216,1,213,47,1,0,1,1,246,0,5,24,0
Otu0278,0,496,0,0,232,16,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0
Otu0279,0,161,0,5,48,16,0,306,2,0,0,3,1,56,6,97,41,5,0,5,1,0
Otu0280,0,6,0,0,738,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0
Otu0281,0,658,0,0,26,2,0,0,5,10,0,0,10,0,0,0,0,4,0,32,1,0
Otu0282,0,1,36,31,5,8,1,0,0,150,217,23,186,0,1,0,0,21,60,5,2,0
Otu0283,0,84,0,0,52,483,0,1,117,1,0,0,5,0,0,0,0,0,3,1,0,0
Otu0284,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,725,3,0
Otu0285,0,67,0,0,12,454,0,3,12,18,0,0,11,122,0,0,27,1,0,0,0,0
Otu0287,0,5,0,0,6,1,0,0,0,3,0,0,0,35,0,643,23,1,0,3,0,0
Otu0288,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719
Otu0289,0,0,0,0,0,0,0,0,0,51,4,1,635,0,0,0,0,5,0,3,21,0
Otu0290,0,3,0,2,10,613,0,19,56,0,0,0,4,0,0,0,5,0,0,0,1,0
Otu0291,0,0,0,4,7,59,104,524,12,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu0292,0,4,0,680,1,0,0,0,0,4,0,1,0,8,0,0,1,8,1,2,0,0
Otu0293,0,18,0,0,18,12,0,0,2,1,0,0,4,565,0,2,67,5,0,0,14,0
Otu0294,0,2,133,345,0,0,3,0,0,0,63,11,1,0,31,0,0,0,117,1,1,0
Otu0295,0,0,0,0,0,0,2,0,0,0,7,1,2,0,0,0,0,0,695,0,0,0
Otu0297,0,3,0,0,0,2,0,2,0,150,3,6,114,2,0,2,0,378,0,4,37,0
Otu0298,0,0,0,0,0,0,0,0,0,280,7,0,184,0,0,0,0,80,0,0,151,0
Otu0299,0,2,0,1,669,0,0,0,0,0,0,0,0,0,0,0,1,0,27,0,0,0
Otu0300,0,187,0,6,143,133,0,160,57,0,0,0,0,0,0,0,0,1,0,7,0,0
Otu0302,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,682,0,0,5,0
Otu0303,0,388,0,0,43,247,0,0,3,0,0,0,2,0,0,0,0,0,0,7,2,0
Otu0304,0,1,0,336,1,0,3,0,1,0,229,0,16,0,0,0,0,0,100,0,3,0
Otu0305,0,51,0,20,469,0,0,0,0,87,0,0,34,0,0,4,9,0,6,3,1,0
Otu0306,0,0,231,0,1,0,11,0,2,0,399,10,0,0,18,0,0,0,12,0,0,0
