,EXT_NEG_LY_S21_L001,LY_BR1_D_S11_L001,LY_BR1_Detrit_S1_L001,LY_BR1_Toxo_S6_L001,LY_BR1_W1_S16_L001,LY_BR2_D_S12_L001,LY_BR2_Detrit_S2_L001,LY_BR2_Toxo_S7_L001,LY_BR2_W2_S17_L001,LY_BR3_D_S13_L001,LY_BR3_Detrit_S3_L001,LY_BR3_Toxo_S8_L001,LY_BR3_W1_S18_L001,LY_BR4_D_S14_L001,LY_BR4_Detrit_S4_L001,LY_BR4_Toxo_S9_L001,LY_BR4_W1_S19_L001,LY_BR5_D_S15_L001,LY_BR5_Detrit_S5_L001,LY_BR5_Toxo_S10_L001,LY_BR5_W1_S20_L001,PCR_pos_LY_S22_L001
Otu1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,149,0,0
Otu1118,0,7,0,0,4,133,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0
Otu1119,0,0,0,0,1,0,0,0,0,29,2,2,84,0,0,0,0,9,0,3,21,0
Otu1120,0,3,0,0,2,0,0,0,0,0,0,0,1,77,0,1,66,0,0,1,0,0
Otu1121,0,116,0,3,13,1,0,3,0,3,0,0,0,0,0,0,0,4,0,7,1,0
Otu1122,0,0,0,0,18,0,0,0,33,0,1,0,1,0,0,0,97,0,0,0,0,0
Otu1123,0,0,0,0,0,0,0,0,0,21,0,39,38,0,0,0,0,10,0,4,38,0
Otu1124,0,2,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,131,7,2,0
Otu1125,0,24,0,0,28,76,0,0,15,0,0,0,0,0,0,0,0,0,7,0,0,0
Otu1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,11,0,0,0,0,0
Otu1127,0,0,0,1,93,0,0,0,0,3,2,0,2,0,0,0,2,13,8,3,23,0
Otu1128,0,3,0,0,2,4,0,79,4,10,0,0,27,0,0,0,0,16,0,0,4,1
Otu1129,0,0,0,0,24,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,113,0
Otu1130,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,131,2,1,0,0,0,0
Otu1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,147
Otu1132,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,53,0,0,0,0,0,0
Otu1133,0,0,0,0,6,7,0,7,121,0,0,0,7,0,0,0,0,0,0,0,0,0
Otu1134,0,124,0,0,2,0,0,0,0,3,1,0,1,10,0,0,3,0,0,4,0,0
Otu1135,0,1,0,0,0,11,0,0,0,17,0,4,44,0,0,0,0,68,0,1,2,0
Otu1136,0,0,1,0,0,0,0,0,0,0,0,0,1,1,142,2,1,0,0,0,0,0
Otu1137,0,20,0,0,2,0,0,0,0,65,0,0,16,13,0,0,3,18,0,1,9,0
Otu1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,18,2,0
Otu1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,130,7,0
Otu1140,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,24,46,1,0,0,0,0
Otu1141,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,81,46,16,0
Otu1142,0,0,0,0,0,0,0,0,0,21,0,90,5,0,0,0,0,5,0,23,3,0
Otu1143,0,0,26,1,0,0,24,0,0,0,53,1,1,0,19,0,0,0,22,0,0,0
Otu1144,0,68,0,0,26,42,0,0,0,0,0,0,1,0,0,0,9,0,0,0,1,0
Otu1145,0,1,118,17,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
Otu1146,0,0,0,0,0,0,0,0,0,71,32,0,24,0,0,0,0,2,11,0,7,0
Otu1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
Otu1148,0,0,0,0,0,1,0,141,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1149,0,0,0,0,28,0,0,0,38,0,1,0,0,0,0,0,78,0,1,0,0,0
Otu1150,0,0,6,0,0,0,22,0,0,0,111,0,0,0,7,0,0,0,0,0,0,0
Otu1151,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1152,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,49,5,52,0,34,4,0
Otu1153,0,4,0,0,0,1,0,0,0,0,1,1,2,112,0,2,5,17,0,0,1,0
Otu1154,0,14,0,0,2,2,0,0,0,11,2,1,27,19,0,6,10,35,0,0,17,0
Otu1155,0,8,1,58,3,0,0,74,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Otu1156,0,31,0,10,6,2,0,60,15,0,0,0,17,0,0,0,0,2,0,0,3,0
Otu1157,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,115,0,0,0,16,0
Otu1158,0,0,0,0,0,0,0,0,0,19,2,11,97,0,0,0,0,8,0,0,8,0
Otu1159,0,18,4,0,16,0,2,0,4,0,1,6,3,41,19,2,18,4,0,3,4,0
Otu1160,0,24,0,0,45,2,0,1,17,10,0,0,41,0,0,2,3,0,0,0,0,0
Otu1161,0,11,0,0,57,1,0,0,5,14,0,4,26,1,0,0,16,1,0,4,4,0
Otu1162,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,83,0,0,0,0,0,0
Otu1163,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,27,109,2,0
Otu1164,0,0,0,0,19,0,0,0,6,3,0,1,104,0,0,0,11,0,0,0,0,0
Otu1165,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,138,0,0
Otu1166,0,1,0,0,0,0,0,0,0,44,0,26,59,0,0,0,0,5,0,0,9,0
Otu1167,0,1,0,0,7,0,0,0,16,1,0,1,69,0,0,0,0,3,0,0,45,0
Otu1168,0,0,0,0,61,3,0,1,13,7,0,0,29,13,0,0,16,0,0,0,0,0
Otu1169,0,0,0,0,0,1,0,1,141,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1170,0,0,0,0,0,0,1,0,0,15,0,1,90,0,0,0,0,1,0,1,34,0
Otu1171,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,76,0,0,0,0,0,0
Otu1172,0,0,0,0,0,0,0,0,0,6,0,73,1,0,0,0,0,7,2,53,1,0
Otu1173,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,117,0,1,5,0
Otu1174,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,7,0,15,104,0
Otu1175,0,0,0,0,0,0,0,0,0,3,81,1,30,0,0,0,0,6,0,1,20,0
Otu1176,0,1,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,109,0,0,0
Otu1177,0,27,0,0,12,3,0,0,1,3,0,0,6,7,0,0,3,50,0,4,26,0
Otu1178,0,122,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,2,0,6,0,0
Otu1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0
Otu1180,0,0,0,1,0,0,0,0,1,2,2,0,4,1,1,1,0,10,102,8,8,0
Otu1181,0,0,2,10,1,0,0,0,0,0,88,25,0,0,15,0,0,0,0,0,0,0
Otu1182,0,1,0,0,134,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0
Otu1183,0,37,0,0,1,0,0,0,0,18,0,1,42,0,0,0,16,20,0,1,5,0
Otu1184,0,50,0,0,5,6,0,0,1,4,0,0,2,9,0,0,5,51,0,0,8,0
Otu1185,0,13,6,9,1,2,0,0,1,15,53,12,16,1,0,1,0,2,1,6,2,0
Otu1186,0,0,95,3,4,0,0,0,0,0,2,0,0,0,0,0,0,7,29,0,0,0
Otu1187,0,0,89,0,0,0,0,0,0,0,7,0,2,0,23,0,0,0,16,3,0,0
Otu1188,0,1,1,0,1,0,0,0,0,2,39,8,66,0,0,7,0,1,10,2,2,0
Otu1189,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,135,0
Otu1190,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,83,0,30,23,1
Otu1191,0,36,26,25,46,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0
Otu1192,0,8,0,0,1,3,0,4,0,8,1,0,77,2,0,0,0,16,0,0,19,0
Otu1193,0,0,0,0,17,0,1,0,34,0,3,0,0,0,1,1,82,0,0,0,0,0
Otu1194,0,1,0,0,0,1,0,131,1,0,0,0,2,1,0,1,0,0,0,0,1,0
Otu1195,0,0,0,0,0,2,7,7,5,10,55,7,3,0,42,0,1,0,0,0,0,0
Otu1196,0,13,0,0,0,11,0,5,1,36,0,8,44,0,1,1,6,7,0,0,6,0
Otu1197,1,3,1,0,0,0,0,0,0,0,0,0,0,130,1,0,0,2,0,0,1,0
Otu1198,0,0,10,5,0,0,18,0,1,0,12,0,1,0,44,0,0,0,32,15,0,1
Otu1199,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,121,0,0,11
Otu1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,124,0,0
Otu1201,0,26,0,0,0,0,0,0,0,12,5,5,9,0,0,0,0,31,43,2,6,0
Otu1202,0,0,2,1,0,0,6,0,0,0,109,3,0,0,11,0,0,0,6,0,0,0
Otu1203,0,16,1,0,4,0,0,0,0,0,5,1,3,38,40,6,16,1,5,1,1,0
Otu1204,0,4,0,0,7,0,1,0,1,0,14,0,5,7,25,26,48,0,0,0,0,0
Otu1205,0,39,0,0,55,0,0,0,2,0,0,0,2,3,0,1,34,0,0,2,0,0
Otu1206,0,0,0,19,0,0,0,0,0,1,0,0,0,0,2,0,0,6,66,35,9,0
Otu1207,0,0,0,0,18,0,0,0,31,0,2,0,2,0,0,0,84,0,1,0,0,0
Otu1208,0,0,0,0,0,107,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1210,0,0,0,0,0,0,0,0,0,18,0,1,72,3,0,0,1,5,0,0,38,0
Otu1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,135,0
Otu1212,0,0,0,0,0,0,0,0,0,2,1,130,4,0,0,0,0,0,0,0,0,0
Otu1213,0,0,0,0,0,0,0,0,0,36,4,1,63,0,0,0,0,18,0,0,15,0
Otu1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0
Otu1215,0,0,0,0,136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1216,0,0,6,4,11,0,1,0,4,0,6,0,56,0,24,0,25,0,0,0,0,0
Otu1217,0,1,0,0,110,1,0,0,0,1,0,0,4,0,0,0,1,0,0,0,19,0
Otu1218,0,115,0,0,7,0,0,0,0,0,0,0,1,0,0,0,4,0,4,6,0,0
Otu1219,0,82,0,0,1,46,0,0,1,1,0,0,0,3,0,0,1,0,0,2,0,0
Otu1220,0,2,1,111,6,0,0,4,2,1,9,1,0,0,0,0,0,0,0,0,0,0
Otu1221,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,117,7,0,0,0,0,0
Otu1222,0,0,0,0,18,0,0,0,40,0,2,0,0,1,0,0,75,0,0,0,0,0
Otu1223,0,0,0,0,51,1,14,1,67,0,0,0,0,0,0,0,0,0,2,0,0,0
Otu1224,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,113,8,14,0
Otu1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,127,6,0
Otu1228,0,3,0,0,0,0,0,0,0,11,0,73,11,0,0,0,0,17,0,6,15,0
Otu1229,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,14,0,10,5,0
Otu1230,0,11,0,0,1,71,5,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1231,0,31,0,0,76,5,0,3,5,1,0,0,4,0,0,0,3,0,5,0,2,0
Otu1232,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,8,0,0,0,0,0
Otu1233,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0
Otu1234,0,0,0,0,1,0,0,0,1,22,0,2,36,1,0,0,1,50,0,0,21,0
Otu1235,0,0,0,0,0,2,89,1,1,0,0,0,0,0,27,0,14,0,0,0,0,0
Otu1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,52,68,0
Otu1237,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,122,7,0,0,0,0,0
Otu1238,0,47,2,18,46,0,0,1,0,1,4,5,0,0,0,0,0,2,0,6,2,0
Otu1239,0,18,0,0,0,6,0,0,0,1,0,3,0,55,0,0,1,42,0,2,6,0
Otu1240,0,0,80,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0
Otu1241,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36,0,84,13,0
Otu1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0
Otu1243,0,1,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Otu1244,0,0,0,0,4,0,0,84,10,0,1,31,3,0,0,0,0,0,0,0,0,0
Otu1245,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,115,12,0
Otu1246,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,115,10,3,0,0,0,0
Otu1247,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,7,107,0
Otu1248,0,0,0,0,48,0,0,0,0,39,0,0,38,0,0,0,7,0,0,0,0,0
Otu1250,0,0,0,0,0,0,0,0,0,1,0,126,2,0,0,0,0,3,0,0,0,0
Otu1251,0,0,0,0,0,75,0,9,46,0,0,0,2,0,0,0,0,0,0,0,0,0
Otu1252,0,0,0,118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Otu1253,0,2,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1254,0,12,17,5,40,3,0,2,1,4,6,3,8,0,0,0,0,3,23,4,1,0
Otu1255,0,3,2,54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,70,0,1,0
Otu1256,0,9,0,0,1,0,0,0,0,7,2,1,1,46,0,4,1,0,46,0,14,0
Otu1257,0,10,0,2,115,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0
Otu1258,0,10,0,0,8,0,0,0,10,35,1,0,49,1,0,0,9,4,0,2,3,0
Otu1259,0,1,6,2,0,4,112,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0
Otu1260,0,28,0,0,13,62,0,1,5,1,0,0,0,0,0,0,10,4,0,0,8,0
Otu1261,0,10,0,1,15,18,0,10,0,0,0,1,0,22,0,38,15,0,0,1,0,0
Otu1262,0,0,0,0,0,0,0,0,0,41,3,0,66,0,0,0,0,4,0,0,17,0
Otu1263,0,0,0,0,0,1,0,0,0,16,0,108,5,0,0,0,0,1,0,0,0,0
Otu1264,0,0,0,0,6,40,0,3,43,0,0,0,9,0,0,0,4,22,0,1,3,0
Otu1265,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,10,3,0
Otu1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0
Otu1267,0,1,0,59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70,0,0,0
Otu1268,0,2,0,0,1,10,0,0,0,26,0,0,1,2,0,0,2,71,0,0,16,0
Otu1269,0,63,2,0,0,0,0,0,0,5,52,4,2,0,0,0,0,1,1,1,0,0
Otu1270,0,5,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Otu1271,0,1,0,0,5,92,6,17,7,0,0,0,0,0,0,0,1,0,0,0,1,0
Otu1272,0,7,0,0,6,0,0,0,0,0,0,1,0,8,0,86,15,5,0,0,2,0
Otu1273,0,6,0,0,39,5,0,0,1,1,0,0,8,10,0,0,55,3,0,0,2,0
Otu1274,0,12,0,0,6,4,0,58,30,0,0,1,1,7,1,1,8,0,0,0,0,1
Otu1275,0,2,0,23,15,0,0,0,0,0,3,84,2,0,0,0,1,0,0,0,0,0
Otu1276,0,0,0,0,1,10,0,5,12,1,0,1,8,42,4,7,39,0,0,0,0,0
Otu1277,0,0,0,0,28,6,0,0,40,22,0,0,30,0,0,0,0,0,0,1,3,0
Otu1278,0,0,0,0,86,0,0,0,1,0,4,0,1,0,0,0,3,34,0,0,1,0
Otu1279,0,2,0,0,5,3,0,12,98,0,0,0,2,0,0,0,1,5,0,0,1,0
Otu1280,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,5,53,0
Otu1281,0,4,0,0,81,0,0,0,0,3,0,0,24,0,0,0,0,6,1,0,10,0
Otu1283,0,0,0,98,1,0,0,0,0,0,27,1,0,0,1,0,1,0,0,0,0,0
Otu1285,0,0,0,0,0,0,0,0,0,4,22,98,2,0,0,1,0,1,0,1,0,0
Otu1286,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0
Otu1287,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,122,3,0,0,0,0,0
Otu1288,0,0,0,0,0,0,0,1,64,14,0,0,49,0,0,0,0,0,0,0,0,0
Otu1289,0,0,89,1,0,0,1,0,0,0,7,0,0,0,26,0,0,0,3,1,0,0
Otu1290,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,8,0,0,0,0
Otu1291,0,2,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
Otu1292,0,2,0,0,60,0,0,0,4,0,0,0,0,28,0,0,25,7,0,2,0,0
Otu1293,0,12,2,0,35,33,0,2,24,2,0,0,9,0,0,0,3,4,0,0,2,0
Otu1294,0,19,0,0,22,56,0,1,2,6,0,0,2,0,0,0,4,7,0,0,8,0
Otu1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,104,2,0,0,7,0
Otu1296,0,0,0,0,0,0,0,0,0,1,6,1,5,0,0,0,0,8,37,32,37,0
Otu1297,0,7,0,0,0,0,0,0,0,100,0,0,5,0,0,0,0,3,0,1,11,0
Otu1298,0,0,0,6,26,1,57,2,30,0,0,0,5,0,0,0,0,0,0,0,0,0
Otu1299,0,14,0,4,6,0,0,4,3,0,5,7,6,5,12,49,8,0,0,1,3,0
Otu1300,0,2,0,1,1,8,0,20,0,6,0,25,2,7,0,32,2,6,0,15,0,0
Otu1301,0,3,0,2,3,1,0,80,4,1,0,4,7,1,0,8,5,2,1,3,2,0
Otu1302,0,11,0,0,99,4,0,0,0,1,0,0,3,0,0,0,9,0,0,0,0,0
Otu1303,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,6,0,0
Otu1304,0,0,4,1,2,1,36,0,4,0,0,0,0,0,62,3,14,0,0,0,0,0
Otu1305,0,0,80,2,2,0,0,0,0,0,5,1,1,0,32,2,0,0,1,0,0,0
Otu1306,0,2,0,0,10,1,0,1,11,0,0,12,3,2,0,1,73,2,0,6,2,0
Otu1307,0,0,3,1,0,2,116,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1308,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,6,0,0,104,0
Otu1309,0,6,1,0,20,17,1,50,4,5,3,0,7,0,0,0,4,0,1,2,5,0
Otu1310,0,0,0,0,0,0,0,0,0,11,0,0,9,0,0,0,0,18,0,0,88,0
Otu1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,106,8,0
Otu1312,0,15,3,1,44,1,2,0,10,1,19,0,1,10,1,1,5,5,3,3,0,0
Otu1313,0,0,0,0,1,0,0,0,0,10,44,6,25,0,0,7,4,0,20,8,0,0
Otu1314,0,8,1,12,3,2,5,0,0,5,18,0,8,0,10,2,1,0,19,31,0,0
Otu1315,0,6,36,26,1,15,16,1,0,0,2,0,0,0,20,2,0,0,0,0,0,0
Otu1316,0,60,1,11,36,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
Otu1317,0,2,0,0,1,34,4,39,7,0,0,1,6,1,0,0,7,5,0,3,15,0
Otu1318,0,123,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Otu1319,0,78,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1320,0,4,0,0,3,0,0,0,0,22,0,56,9,0,0,0,1,8,0,9,13,0
Otu1321,0,0,0,0,0,0,0,1,0,1,0,118,2,1,0,0,0,1,0,1,0,0
Otu1322,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,16,82,1
Otu1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,124,0
Otu1324,0,2,0,0,2,9,2,15,14,6,12,3,8,13,6,3,5,9,13,0,2,0
Otu1325,0,0,0,0,9,0,0,0,40,1,0,0,1,0,0,0,73,0,0,0,0,0
Otu1326,0,2,0,0,0,0,0,0,0,14,0,12,1,2,0,82,1,5,0,1,4,0
Otu1328,0,0,52,3,0,0,22,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0
Otu1329,0,6,0,0,4,0,0,0,0,5,0,1,41,3,0,1,43,1,0,2,17,0
Otu1330,0,0,0,0,5,0,0,0,0,5,0,0,54,0,0,0,0,3,0,1,56,0
Otu1331,0,0,0,0,0,0,0,117,0,0,0,3,1,0,0,1,2,0,0,0,0,0
Otu1332,0,0,0,0,0,0,0,0,0,2,27,3,11,0,0,0,0,20,6,29,26,0
Otu1333,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,86,1,0,0
Otu1334,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,117
Otu1335,0,55,0,0,7,16,0,29,11,3,0,0,1,0,0,0,0,0,0,1,0,0
Otu1336,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0
Otu1337,0,11,0,0,11,93,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Otu1338,0,8,0,0,109,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Otu1339,0,8,0,0,0,0,2,0,0,0,4,2,2,0,0,0,0,6,43,49,7,0
Otu1341,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,121,0,0,0
Otu1343,0,2,0,0,0,0,0,0,0,5,0,84,8,0,0,2,0,3,0,14,4,0
Otu1344,0,1,0,0,23,5,0,0,12,0,0,0,0,0,0,0,81,0,0,0,0,0
Otu1345,0,1,0,0,0,105,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1346,0,0,3,0,7,0,0,0,1,3,10,7,59,0,5,3,2,3,11,6,2,0
Otu1347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0
Otu1348,0,5,0,0,3,0,0,108,4,0,0,0,0,0,0,0,1,0,0,0,0,0
Otu1349,0,0,0,0,7,0,0,0,0,5,0,0,18,0,0,1,4,2,0,0,84,0
Otu1350,0,0,0,43,0,0,0,0,0,0,0,0,1,0,25,0,0,0,52,0,0,0
Otu1351,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,14,5,3,0,93,0,0
Otu1352,0,16,0,0,13,1,0,5,0,3,0,7,0,7,0,18,34,7,0,1,9,0
Otu1353,0,3,0,0,1,1,0,0,0,50,0,1,15,0,1,0,3,40,0,1,5,0
Otu1354,0,1,0,0,0,13,0,0,0,13,0,0,5,86,0,0,2,0,0,0,1,0
Otu1355,0,20,0,0,6,1,0,0,1,3,13,3,5,25,0,0,14,12,8,6,4,0
Otu1356,0,2,32,0,3,4,48,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu1357,0,0,10,0,12,0,0,1,0,1,12,0,42,0,8,0,2,1,11,10,11,0
Otu1359,0,8,0,2,22,2,0,4,10,5,4,0,59,0,0,0,0,0,0,0,4,0
Otu1360,0,9,0,0,88,3,0,0,0,1,0,0,0,2,0,0,3,11,0,0,3,0
Otu1361,0,0,0,0,2,0,0,0,0,11,0,2,2,41,0,28,3,21,0,9,1,0
Otu1362,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,80,30,0,0,0,0,0
Otu1363,0,0,0,0,0,0,0,0,0,13,0,35,1,0,0,0,0,2,20,31,18,0
Otu1364,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,7,0,2,105,0
Otu1365,0,0,0,0,12,0,1,0,0,1,0,1,12,0,0,0,75,8,0,0,9,0
Otu1366,0,1,31,1,1,0,0,0,0,2,24,1,7,0,31,0,1,0,12,7,0,0
Otu1367,0,0,23,3,0,0,79,1,0,1,6,1,4,0,0,0,0,0,1,0,0,0
Otu1368,0,0,4,0,0,0,43,0,0,0,36,1,0,0,30,0,0,0,5,0,0,0
Otu1370,0,0,0,0,11,0,0,0,30,0,4,0,0,0,1,0,73,0,0,0,0,0
Otu1371,0,0,0,0,0,0,0,1,0,0,0,117,1,0,0,0,0,0,0,0,0,0
Otu1373,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,114,0,1,0
Otu1374,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,9,0,96,0
Otu1375,0,0,0,0,0,0,0,0,0,5,10,0,8,0,0,0,0,0,74,22,0,0
Otu1376,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Otu1377,0,1,0,0,0,23,0,84,5,2,0,0,2,0,0,0,1,0,0,0,0,0
Otu1378,0,47,0,2,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0
Otu1379,0,5,0,0,1,0,0,0,0,6,0,0,1,1,0,101,3,0,0,0,0,0
Otu1380,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,45,0
Otu1381,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,90,16,6,0
Otu1382,0,6,0,1,16,40,0,4,4,25,0,1,16,0,0,0,5,0,0,0,0,0
Otu1383,0,8,0,0,12,1,0,0,0,3,0,0,1,14,0,0,64,11,0,0,4,0
Otu1384,0,26,0,4,19,1,0,10,53,0,0,0,4,0,0,0,0,0,0,0,1,0
Otu1385,0,0,0,0,114,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
Otu1386,0,0,0,0,0,3,0,109,5,0,0,0,0,1,0,0,0,0,0,0,0,0
Otu1387,0,0,0,0,0,0,0,111,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Otu1389,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,106,0,4,2,0
Otu1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,107,0
Otu1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,115,0
Otu1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,110,0
Otu1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115,2,0
Otu1394,0,0,1,1,28,0,0,0,4,2,28,1,38,0,0,0,0,0,8,3,3,0
Otu1395,0,1,0,0,20,0,0,0,1,0,0,0,6,14,0,2,69,4,0,0,0,0
Otu1396,0,0,0,0,0,0,0,0,0,11,0,87,1,0,0,1,0,10,0,5,2,0
Otu1397,0,0,8,0,0,0,45,0,0,0,31,0,0,0,29,0,0,0,4,0,0,0
Otu1398,0,2,5,106,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Otu1399,0,2,0,0,5,79,0,3,19,8,0,0,1,0,0,0,0,0,0,0,0,0
Otu1400,0,0,0,3,0,0,3,0,0,0,4,0,0,0,79,0,1,0,27,0,0,0
Otu1401,0,0,0,0,87,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
